|TYPE|VARIABLE|VARIANT
20059004|_SUG_Arteria_afectada|Arteria basilar|a. basilar
20059004|_SUG_Arteria_afectada|Arteria basilar|a.basilar
20059004|_SUG_Arteria_afectada|Arteria basilar|ab
20059004|_SUG_Arteria_afectada|Arteria basilar|art basilar
20059004|_SUG_Arteria_afectada|Arteria basilar|arteria basilar
20059004|_SUG_Arteria_afectada|Arteria carótida común|acc
20059004|_SUG_Arteria_afectada|Arteria carótida común|arteria acc
20059004|_SUG_Arteria_afectada|Arteria carótida común|arteria carotida comun
20059004|_SUG_Arteria_afectada|Arteria carótida común|carotide
20059004|_SUG_Arteria_afectada|Arteria carótida común|arteria carotide
20059004|_SUG_Arteria_afectada|Arteria carótida común|arteria carotidea
20059004|_SUG_Arteria_afectada|Arteria carótida común|arteria carotidi
20059004|_SUG_Arteria_afectada|Arteria carótida común|carotida
20059004|_SUG_Arteria_afectada|Arteria carótida interna|a. carotida interna
20059004|_SUG_Arteria_afectada|Arteria carótida interna|a.carotida interna
20059004|_SUG_Arteria_afectada|Arteria carótida interna|aci
20059004|_SUG_Arteria_afectada|Arteria carótida interna|arteria aci
20059004|_SUG_Arteria_afectada|Arteria carótida interna|arteria carotida interna
20059004|_SUG_Arteria_afectada|Arteria carótida interna|arteria ica
20059004|_SUG_Arteria_afectada|Arteria carótida interna|carotida interna
20059004|_SUG_Arteria_afectada|Arteria carótida interna|ica
20059004|_SUG_Arteria_afectada|Arteria carótida interna segmento cervical o C1|arteria c1
20059004|_SUG_Arteria_afectada|Arteria carótida interna segmento cervical o C1|c1
20059004|_SUG_Arteria_afectada|Arteria carótida interna terminal (o ACI-T/ TICA)|aci-t
20059004|_SUG_Arteria_afectada|Arteria carótida interna terminal (o ACI-T/ TICA)|arteria aci-t
20059004|_SUG_Arteria_afectada|Arteria carótida interna terminal (o ACI-T/ TICA)|arteria carotida interna terminal
20059004|_SUG_Arteria_afectada|Arteria carótida interna terminal (o ACI-T/ TICA)|arteria tica
20059004|_SUG_Arteria_afectada|Arteria carótida interna terminal (o ACI-T/ TICA)|tica
20059004|_SUG_Arteria_afectada|Arteria carótida primitiva|arteria carotida primitiva
20059004|_SUG_Arteria_afectada|Arteria carótida primitiva|carotida primitiva
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|aica
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|arteria aica
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|arteria cerebelosa anteroinferior
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|arteria cerebelosa posteroinferior
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|arteria cerebelosa superior
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|arteria pica
20059004|_SUG_Arteria_afectada|Arteria cerebelosa posteroinferior (o PICA)|pica
20059004|_SUG_Arteria_afectada|Arteria cerebelosa superior|acs
20059004|_SUG_Arteria_afectada|Arteria cerebelosa superior|arteria acs
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior|aca
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior|acoa
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior|arteria aca
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior|arteria acoa
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior|arteria cerebral anterior
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior segmento A2|a2
20059004|_SUG_Arteria_afectada|Arteria cerebral anterior segmento A2|arteria a2
20059004|_SUG_Arteria_afectada|Arteria cerebral media|acm
20059004|_SUG_Arteria_afectada|Arteria cerebral media|art cerebral media
20059004|_SUG_Arteria_afectada|Arteria cerebral media|art. cerebral media
20059004|_SUG_Arteria_afectada|Arteria cerebral media|arteria acm
20059004|_SUG_Arteria_afectada|Arteria cerebral media|arteria cerebral media
20059004|_SUG_Arteria_afectada|Arteria cerebral media|arteria cerebral mitja
20059004|_SUG_Arteria_afectada|Arteria cerebral media|arteria cerebrals mitges
20059004|_SUG_Arteria_afectada|Arteria cerebral media|arteria nucleo lenticular
20059004|_SUG_Arteria_afectada|Arteria cerebral media|nucleo lenticular
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento|arteria cerebral media segmento
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M1|arteria m1
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M1|m1
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M2|arteria m2
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M2|m2
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M3|arteria m3
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M3|m3
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M4|arteria m4
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M4|m4
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M5|arteria m5
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M5|m5
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M6|arteria m6
20059004|_SUG_Arteria_afectada|Arteria cerebral media segmento M6|m6
20059004|_SUG_Arteria_afectada|Arteria cerebral posterior|acp
20059004|_SUG_Arteria_afectada|Arteria cerebral posterior|arteria acp
20059004|_SUG_Arteria_afectada|Arteria cerebral posterior|arteria cerebral posterior
20059004|_SUG_Arteria_afectada|Arteria cerebral posterior|arteria cerebrales posteriores
20059004|_SUG_Arteria_afectada|Arteria cerebral posterior|cerebrales posteriores
20059004|_SUG_Arteria_afectada|Arteria circunferencial corta|a. circunferencial corta
20059004|_SUG_Arteria_afectada|Arteria circunferencial corta|a.circunferencial corta
20059004|_SUG_Arteria_afectada|Arteria coroidea anterior|a. coroidea ant
20059004|_SUG_Arteria_afectada|Arteria coroidea anterior|a.coroidea ant
20059004|_SUG_Arteria_afectada|Arteria coroidea anterior|arteria coroidea anterior
20059004|_SUG_Arteria_afectada|Arteria coroidea posterior|arteria coroidea posterior
20059004|_SUG_Arteria_afectada|Arteria lenticuloestriada|arteria lenticular estriadas
